,co2tpi_CO2ppm
2015-04-12 14:43:10,32999.0666667
2015-04-12 14:43:11,32693.7
2015-04-12 14:43:12,28881.0
2015-04-12 14:43:13,26858.55
2015-04-12 14:43:14,24836.1
2015-04-12 14:43:15,21231.3
2015-04-12 14:43:16,19588.25
2015-04-12 14:43:17,17945.2
2015-04-12 14:43:18,15003.9
2015-04-12 14:43:19,13745.9
2015-04-12 14:43:20,12487.9
2015-04-12 14:43:21,10253.8
2015-04-12 14:43:22,9402.25
2015-04-12 14:43:23,8550.7
2015-04-12 14:43:24,7128.2
2015-04-12 14:43:25,6560.35
2015-04-12 14:43:26,5992.5
2015-04-12 14:43:27,5431.7
2015-04-12 14:43:28,6573.4
2015-04-12 14:43:29,7715.1
2015-04-12 14:43:30,11350.9
2015-04-12 14:43:31,12024.35
2015-04-12 14:43:32,12697.8
2015-04-12 14:43:33,12459.8333333
2015-04-12 14:43:34,12221.8666667
2015-04-12 14:43:35,11983.9
2015-04-12 14:43:36,10597.8
2015-04-12 14:43:37,9842.1
2015-04-12 14:43:38,9086.4
2015-04-12 14:43:39,7652.0
2015-04-12 14:43:40,7070.75
2015-04-12 14:43:41,6489.5
2015-04-12 14:43:42,7279.1
2015-04-12 14:43:43,10754.95
2015-04-12 14:43:44,14230.8
2015-04-12 14:43:45,22509.0
2015-04-12 14:43:46,23655.45
2015-04-12 14:43:47,24801.9
2015-04-12 14:43:48,22898.6
2015-04-12 14:43:49,21325.3
2015-04-12 14:43:50,19752.0
2015-04-12 14:43:51,16662.8
2015-04-12 14:43:52,15614.65
2015-04-12 14:43:53,14566.5
2015-04-12 14:43:54,14741.0
2015-04-12 14:43:55,15297.55
2015-04-12 14:43:56,15854.1
2015-04-12 14:43:57,15618.3333333
2015-04-12 14:43:58,15382.5666667
2015-04-12 14:43:59,15146.8
2015-04-12 14:44:00,13211.8
2015-04-12 14:44:01,12028.75
2015-04-12 14:44:02,10845.7
2015-04-12 14:44:03,9775.0
2015-04-12 14:44:04,11129.0
2015-04-12 14:44:05,12483.0
2015-04-12 14:44:06,22335.1
2015-04-12 14:44:07,27484.25
2015-04-12 14:44:08,32633.4
2015-04-12 14:44:09,40562.6
2015-04-12 14:44:10,42127.1
2015-04-12 14:44:11,43691.6
2015-04-12 14:44:12,42943.5
2015-04-12 14:44:13,41777.8
2015-04-12 14:44:14,40612.1
2015-04-12 14:44:15,40219.3
2015-04-12 14:44:16,40599.55
2015-04-12 14:44:17,40979.8
2015-04-12 14:44:18,48011.7
2015-04-12 14:44:19,51054.95
2015-04-12 14:44:20,54098.2
2015-04-12 14:44:21,55384.7666667
2015-04-12 14:44:22,56671.3333333
2015-04-12 14:44:23,57957.9
2015-04-12 14:44:24,60166.3
2015-04-12 14:44:25,60513.65
2015-04-12 14:44:26,60861.0
2015-04-12 14:44:27,57525.4
2015-04-12 14:44:28,56056.55
2015-04-12 14:44:29,54587.7
2015-04-12 14:44:30,56057.4
2015-04-12 14:44:31,57468.95
2015-04-12 14:44:32,58880.5
2015-04-12 14:44:33,58958.9
2015-04-12 14:44:34,58154.7
2015-04-12 14:44:35,57350.5
2015-04-12 14:44:36,54206.8
2015-04-12 14:44:37,52807.75
2015-04-12 14:44:38,51408.7
2015-04-12 14:44:39,52024.7
2015-04-12 14:44:40,52545.65
2015-04-12 14:44:41,53066.6
2015-04-12 14:44:42,53794.9
2015-04-12 14:44:43,53836.3
2015-04-12 14:44:44,53877.7
2015-04-12 14:44:45,54057.9666667
2015-04-12 14:44:46,54238.2333333
2015-04-12 14:44:47,54418.5
2015-04-12 14:44:48,54820.3
2015-04-12 14:44:49,54579.6
2015-04-12 14:44:50,54338.9
2015-04-12 14:44:51,55643.2
2015-04-12 14:44:52,56803.0
2015-04-12 14:44:53,57962.8
2015-04-12 14:44:54,57383.2
2015-04-12 14:44:55,55525.8
2015-04-12 14:44:56,53668.4
2015-04-12 14:44:57,50046.5
2015-04-12 14:44:58,48645.7
2015-04-12 14:44:59,47244.9
2015-04-12 14:45:00,41797.9
2015-04-12 14:45:01,38955.6
2015-04-12 14:45:02,36113.3
2015-04-12 14:45:03,34795.9
2015-04-12 14:45:04,36386.1
2015-04-12 14:45:05,37976.3
2015-04-12 14:45:06,41319.7
2015-04-12 14:45:07,43366.9
2015-04-12 14:45:08,45414.1
2015-04-12 14:45:09,46535.3666667
2015-04-12 14:45:10,47656.6333333
2015-04-12 14:45:11,48777.9
2015-04-12 14:45:12,51032.0
2015-04-12 14:45:13,50563.05
2015-04-12 14:45:14,50094.1
2015-04-12 14:45:15,47816.3
2015-04-12 14:45:16,46157.75
2015-04-12 14:45:17,44499.2
2015-04-12 14:45:18,38847.4
2015-04-12 14:45:19,36128.55
2015-04-12 14:45:20,33409.7
2015-04-12 14:45:21,28204.8
2015-04-12 14:45:22,25938.4
2015-04-12 14:45:23,23672.0
2015-04-12 14:45:24,19580.9
2015-04-12 14:45:25,17774.95
2015-04-12 14:45:26,15969.0
2015-04-12 14:45:27,12968.2
2015-04-12 14:45:28,11937.65
2015-04-12 14:45:29,10907.1
2015-04-12 14:45:30,16587.5
2015-04-12 14:45:31,21889.3
2015-04-12 14:45:32,27191.1
2015-04-12 14:45:33,30156.2
2015-04-12 14:45:34,33121.3
2015-04-12 14:45:35,36086.4
2015-04-12 14:45:36,42531.0
2015-04-12 14:45:37,45984.05
2015-04-12 14:45:38,49437.1
2015-04-12 14:45:39,53903.3
2015-04-12 14:45:40,56285.05
2015-04-12 14:45:41,58666.8
2015-04-12 14:45:42,64572.5
2015-04-12 14:45:43,67458.05
2015-04-12 14:45:44,70343.6
2015-04-12 14:45:45,70776.3
2015-04-12 14:45:46,66730.1
2015-04-12 14:45:47,62683.9
2015-04-12 14:45:48,59707.2
2015-04-12 14:45:49,62282.85
2015-04-12 14:45:50,64858.5
2015-04-12 14:45:51,71801.9
2015-04-12 14:45:52,73895.15
2015-04-12 14:45:53,75988.4
2015-04-12 14:45:54,78160.2
2015-04-12 14:45:55,78267.6
2015-04-12 14:45:56,78375.0
2015-04-12 14:45:57,78482.4
2015-04-12 14:45:58,77482.75
2015-04-12 14:45:59,76483.1
2015-04-12 14:46:00,70573.9
2015-04-12 14:46:01,70421.2
2015-04-12 14:46:02,70268.5
2015-04-12 14:46:03,72807.1
2015-04-12 14:46:04,72768.5
2015-04-12 14:46:05,72729.9
2015-04-12 14:46:06,73261.5
2015-04-12 14:46:07,71960.9
2015-04-12 14:46:08,70660.3
