AE51	
Date Time	IR: Ref;IR Sense;IR Atten;UV: Ref;UV: Sense;UV Atten;Flow (mL/m);Temp (C);0;0;IR BC;UV BC	2015/04/12;14:33:18;
2015/04/12;15:05:08;3433248;6776375;-67.99;3552544;145458;319.55;17476;67;0;0;3562263;4436344
2015/04/12;15:05:18;15628;266016;-283.45;854539;6751154;-206.69;1555;89;0;0;-47011182;-49858169
2015/04/12;15:05:28;3367712;6764129;-69.74;3552544;145714;319.38;17476;67;0;0;4149109;4434856
2015/04/12;15:05:38;12812;266016;-303.32;854539;6751183;-206.69;1053;89;0;0;-75262066;-73602669
2015/04/12;15:05:48;3367712;6763832;-69.74;3552544;143409;320.97;17476;67;0;0;4534930;4448302
2015/04/12;15:05:58;15116;266016;-286.78;854539;6751187;-206.69;1575;89;0;0;-46756521;-49357798
2015/04/12;15:06:08;3236640;6775604;-73.88;3487008;144996;318.01;17476;67;0;0;4133418;4423328
2015/04/12;15:06:18;12812;266016;-303.32;854539;6751099;-206.69;1073;89;0;0;-72550353;-72042759
2015/04/12;15:06:28;3171104;6764341;-75.76;3487008;156985;310.06;17476;67;0;0;4417997;4356344
2015/04/12;15:06:38;18700;266016;-265.50;854539;6751050;-206.69;1595;89;0;0;-40362940;-47731257
2015/04/12;15:06:48;3629600;6763362;-62.24;3421472;145460;315.79;17476;67;0;0;3946309;4404622
2015/04/12;15:06:58;20492;266016;-256.35;854539;6751207;-206.69;1545;89;0;0;-42628345;-49822344
2015/04/12;15:07:08;6644000;6776163;-1.97;3355936;143415;315.27;17476;67;0;0;4938770;4400274
2015/04/12;15:07:18;22028;266016;-249.12;854539;6751044;-206.69;1555;89;0;0;-53927688;-49452623
2015/04/12;15:07:28;6381856;6763319;-5.81;3355936;143411;315.28;17476;67;0;0;4723970;4400277
2015/04/12;15:07:38;17164;266016;-274.07;854539;6751002;-206.69;1565;89;0;0;-58160666;-49136835
2015/04/12;15:07:48;3760416;6776369;-58.89;3290400;157285;304.07;17476;67;0;0;4177723;4305797
2015/04/12;15:07:58;22028;266016;-249.12;854539;6751045;-206.69;1575;89;0;0;-40980664;-47776642
2015/04/12;15:08:08;3563808;6763576;-64.07;3290400;144697;312.41;17476;67;0;0;3592737;4376125
2015/04/12;15:08:18;22028;266016;-249.12;854539;6751077;-206.69;1585;89;0;0;-39613037;-48250624
2015/04/12;15:08:28;3432736;6764849;-67.84;3290400;143670;313.12;17476;67;0;0;3519620;4382134
2015/04/12;15:08:38;21004;266016;-253.88;854539;6751074;-206.69;1595;89;0;0;-39576152;-48013900
2015/04/12;15:08:48;3236128;6764646;-73.73;3290400;143666;313.13;17476;67;0;0;3497587;4382157
2015/04/12;15:08:58;22028;266016;-249.12;854539;6750985;-206.69;1545;89;0;0;-38516993;-49567888
2015/04/12;15:09:08;6699296;6762853;-0.94;3290400;144432;312.60;17476;67;0;0;4818350;4377663
2015/04/12;15:09:18;20236;266016;-257.61;854539;6751167;-206.69;1555;89;0;0;-56002837;-49198998
2015/04/12;15:09:28;6568224;6762854;-2.92;3224864;145764;309.67;17476;67;0;0;4944724;4352987
2015/04/12;15:09:38;16140;266016;-280.23;854539;6751195;-206.69;1565;89;0;0;-60119818;-48608856
2015/04/12;15:09:48;6502688;6776375;-4.12;3224864;157281;302.06;17476;67;0;0;5360466;4288883
2015/04/12;15:09:58;20236;266016;-257.61;854539;6751064;-206.69;1575;89;0;0;-54606982;-47588718
2015/04/12;15:10:08;6371616;6775097;-6.14;3224864;157238;302.09;17476;67;0;0;4882211;4289097
2015/04/12;15:10:18;19980;266016;-258.88;854539;6751119;-206.69;1585;89;0;0;-54103142;-47291091
2015/04/12;15:10:28;3619104;6763876;-62.54;3224864;156977;302.25;17476;67;0;0;3811997;4290504
2015/04/12;15:10:38;21260;266016;-252.67;854539;6751169;-206.69;1595;89;0;0;-40446149;-47010009
2015/04/12;15:10:48;3488032;6764900;-66.24;3159328;144486;308.49;17476;67;0;0;3619528;4343103
2015/04/12;15:10:58;21004;266016;-253.88;854539;6751231;-206.69;1545;89;0;0;-41207701;-49126341
2015/04/12;15:11:08;3422496;6764594;-68.13;3159328;157283;300.01;17476;67;0;0;3606310;4271568
2015/04/12;15:11:18;19724;266017;-260.17;854539;6751129;-206.69;1555;89;0;0;-41901841;-48006241
2015/04/12;15:11:28;3291424;6776163;-72.21;3159328;156985;300.20;17476;67;0;0;3649259;4273154
2015/04/12;15:11:38;21516;266017;-251.48;854539;6751195;-206.69;1565;89;0;0;-38865144;-47717436
2015/04/12;15:11:48;3225888;6763314;-74.03;3159328;144183;308.70;17476;67;0;0;3445065;4344876
2015/04/12;15:11:58;21516;266017;-251.48;854539;6751118;-206.69;1575;89;0;0;-38226008;-48210081
2015/04/12;15:12:08;6699040;6776165;-1.14;3159328;144181;308.70;17476;67;0;0;4860124;4344878
2015/04/12;15:12:18;21260;266017;-252.67;854539;6751147;-206.69;1585;89;0;0;-53843303;-47906086
2015/04/12;15:12:28;6633504;6776121;-2.13;3159328;144179;308.71;17476;67;0;0;4864288;4344893
2015/04/12;15:12:38;21260;266017;-252.67;854539;6751071;-206.69;1595;89;0;0;-53296737;-47605758
2015/04/12;15:12:48;6567968;6775861;-3.12;3159328;156720;300.37;17476;67;0;0;4845086;4274571
2015/04/12;15:12:58;21260;266017;-252.67;854539;6751168;-206.69;1545;89;0;0;-54804353;-48351210
2015/04/12;15:13:08;6502432;6762546;-3.92;6698016;157029;375.31;17476;67;0;0;4829435;4906412
