,hnu
2015-04-12 14:45:29,2.8
2015-04-12 14:45:30,2.8
2015-04-12 14:45:31,2.8
2015-04-12 14:45:32,2.8
2015-04-12 14:45:33,2.8
2015-04-12 14:45:34,2.8
2015-04-12 14:45:35,2.8
2015-04-12 14:45:36,2.8
2015-04-12 14:45:37,2.8
2015-04-12 14:45:38,2.8
2015-04-12 14:45:39,2.8
2015-04-12 14:45:40,2.8
2015-04-12 14:45:41,2.8
2015-04-12 14:45:42,2.8
2015-04-12 14:45:43,2.8
2015-04-12 14:45:44,2.8
2015-04-12 14:45:45,2.8
2015-04-12 14:45:46,2.8
2015-04-12 14:45:47,2.8
2015-04-12 14:45:48,2.9
2015-04-12 14:45:49,2.9
2015-04-12 14:45:50,3.4
2015-04-12 14:45:51,3.4
2015-04-12 14:45:52,3.5
2015-04-12 14:45:53,4.0
2015-04-12 14:45:54,4.0
2015-04-12 14:45:55,4.0
2015-04-12 14:45:56,4.1
2015-04-12 14:45:57,4.6
2015-04-12 14:45:58,5.2
2015-04-12 14:45:59,6.3
2015-04-12 14:46:00,6.9
2015-04-12 14:46:01,8.2
2015-04-12 14:46:02,9.2
2015-04-12 14:46:03,9.7
2015-04-12 14:46:04,9.7
2015-04-12 14:46:05,9.8
2015-04-12 14:46:06,9.9
2015-04-12 14:46:07,9.3
2015-04-12 14:46:08,8.7
2015-04-12 14:46:09,8.6
2015-04-12 14:46:10,7.9
2015-04-12 14:46:11,7.4
2015-04-12 14:46:12,6.9
2015-04-12 14:46:13,6.8
2015-04-12 14:46:14,6.8
2015-04-12 14:46:15,6.3
2015-04-12 14:46:16,6.2
2015-04-12 14:46:17,6.2
2015-04-12 14:46:18,6.1
2015-04-12 14:46:19,5.6
2015-04-12 14:46:20,5.5
2015-04-12 14:46:21,5.0
2015-04-12 14:46:22,4.9
2015-04-12 14:46:23,4.5
2015-04-12 14:46:24,4.4
2015-04-12 14:46:25,3.9
2015-04-12 14:46:26,3.9
2015-04-12 14:46:27,3.4
2015-04-12 14:46:28,3.4
2015-04-12 14:46:29,3.3
2015-04-12 14:46:30,3.3
2015-04-12 14:46:31,3.3
2015-04-12 14:46:32,3.3
2015-04-12 14:46:33,3.3
2015-04-12 14:46:34,3.3
2015-04-12 14:46:35,3.3
2015-04-12 14:46:36,3.3
2015-04-12 14:46:37,3.4
2015-04-12 14:46:38,3.4
2015-04-12 14:46:39,3.4
2015-04-12 14:46:40,3.4
2015-04-12 14:46:41,3.3
2015-04-12 14:46:42,3.3
2015-04-12 14:46:43,3.3
2015-04-12 14:46:44,3.2
2015-04-12 14:46:45,3.1
2015-04-12 14:46:46,3.1
2015-04-12 14:46:47,3.0
2015-04-12 14:46:48,2.9
2015-04-12 14:46:49,2.9
2015-04-12 14:46:50,2.9
2015-04-12 14:46:51,2.8
2015-04-12 14:46:52,2.8
2015-04-12 14:46:53,2.8
2015-04-12 14:46:54,2.8
2015-04-12 14:46:55,2.8
2015-04-12 14:46:56,2.7
2015-04-12 14:46:57,2.7
2015-04-12 14:46:58,2.7
2015-04-12 14:46:59,2.7
2015-04-12 14:47:00,2.7
